City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Codrington,AU,-38.2667,141.9667,50.19800000000002,95,68,3.61,broken clouds
182,Ola,RU,59.5833,151.2833,55.05800000000001,92,100,1.88,overcast clouds
183,Thompson,CA,55.7435,-97.8558,61.23200000000001,82,75,4.12,broken clouds
184,Robertsport,LR,6.7533,-11.3686,76.49600000000005,82,28,3.98,scattered clouds
185,Egvekinot,RU,66.3167,-179.1667,43.88000000000004,60,76,0.13,broken clouds
186,Road Town,VG,18.4167,-64.6167,88.15999999999998,70,20,4.63,few clouds
187,Werda,BW,-25.2667,23.2833,64.59800000000003,36,6,5.12,clear sky
188,Cabo San Lucas,MX,22.8909,-109.9124,93.88399999999999,68,52,3.54,broken clouds
189,Okha,RU,53.5739,142.9478,55.417999999999985,92,100,2.38,overcast clouds
190,Esperance,AU,-33.8667,121.9,57.07400000000001,82,100,3.09,overcast clouds
191,Saint-Philippe,RE,-21.3585,55.7679,66.05600000000004,83,6,4.18,light rain
192,Turan,VN,16.0678,108.2208,79.05199999999998,89,20,0.51,few clouds
193,Havelock,US,34.8791,-76.9013,90.24800000000002,79,20,8.23,few clouds
194,Kiama,AU,-34.6833,150.8667,50.648000000000025,68,5,4.02,clear sky
195,Payo,ID,-3.7508,103.6372,72.68000000000004,98,100,0.8,overcast clouds
196,Harper,LR,4.375,-7.7169,75.52400000000002,80,99,3.64,overcast clouds
197,Bardiyah,LY,31.7561,25.0865,80.02400000000002,70,0,7.36,clear sky
198,Tezu,IN,27.9167,96.1667,74.084,94,74,1.36,broken clouds
199,Karur,IN,10.95,78.0833,77.46799999999999,82,97,2.88,overcast clouds
200,Sitka,US,57.0531,-135.33,57.36199999999995,94,100,1.54,mist
201,Guerrero Negro,MX,27.9769,-114.0611,83.084,47,51,4.21,broken clouds
202,Auburn,US,47.3073,-122.2284,95.48599999999996,45,0,3.09,clear sky
203,Georgetown,MY,5.4112,100.3354,82.59800000000003,90,20,2.68,few clouds
204,Margate,GB,51.3813,1.3862,64.58000000000004,72,100,0.89,overcast clouds
205,Imeni Poliny Osipenko,RU,52.4201,136.4853,54.10399999999996,95,47,1.59,scattered clouds
206,Salinopolis,BR,-0.6136,-47.3561,80.43800000000005,84,94,4.1,overcast clouds
207,Godalming,GB,51.1846,-0.6173,68.93599999999998,64,100,1.54,overcast clouds
208,Beaverlodge,CA,55.2166,-119.4361,78.42200000000004,44,0,1.13,clear sky
209,Namibe,AO,-15.1961,12.1522,64.20199999999997,78,81,0.8,broken clouds
210,Mankono,CI,8.0586,-6.1897,75.18200000000002,82,100,1.3,overcast clouds
211,Bubaque,GW,11.2833,-15.8333,80.25800000000001,76,100,4.58,overcast clouds
212,Klyuchi,RU,52.2667,79.1667,67.98200000000003,48,80,3.27,broken clouds
