City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Khatanga,RU,2022-07-18 21:30:44,71.9667,102.5,284.73,75,100,0.71
138,Vostok,RU,2022-07-18 21:29:11,46.4856,135.8833,288.83,92,97,0.55
139,College,US,2022-07-18 21:30:46,64.8569,-147.8028,289.33,78,100,6.17
140,Kodiak,US,2022-07-18 21:30:48,57.79,-152.4072,290.88,55,100,7.72
141,Port Elizabeth,ZA,2022-07-18 21:30:49,-33.918,25.5701,290.55,89,75,1.54
142,Kemise,ET,2022-07-18 21:30:50,10.7167,39.8667,294.9,70,85,2.8
143,Rio Grande,BR,2022-07-18 21:30:51,-32.035,-52.0986,285.21,79,3,2.34
144,Poum,NC,2022-07-18 21:30:52,-20.2333,164.0167,296.44,87,56,3.71
145,Portland,US,2022-07-18 21:26:47,45.5234,-122.6762,299.29,56,20,4.63
146,Alta,NO,2022-07-18 21:30:53,69.9689,23.2717,284.74,94,100,5.14
147,Taksimo,RU,2022-07-18 21:30:55,56.3444,114.8794,289.34,82,0,0.15
148,Chililabombwe,ZM,2022-07-18 21:30:56,-12.3648,27.8229,284.85,58,4,2.06
149,Bilma,NE,2022-07-18 21:30:56,18.6853,12.9164,307.72,13,89,4.0
150,Boda,CF,2022-07-18 21:30:57,4.3189,17.4695,294.07,96,100,1.14
151,Constitucion,CL,2022-07-18 21:30:59,-35.3333,-72.4167,283.53,89,90,4.4
152,Khandyga,RU,2022-07-18 21:31:00,62.6667,135.6,295.53,51,100,2.37
153,Renkum,NL,2022-07-18 21:31:01,51.9767,5.7333,298.03,68,4,0.51
154,Manzhouli,CN,2022-07-18 21:31:01,49.6,117.4333,291.33,61,100,2.38
155,Okhotsk,RU,2022-07-18 21:31:03,59.3833,143.3,288.14,85,100,0.48
156,Vysokogornyy,RU,2022-07-18 21:31:05,50.1167,139.15,286.41,99,100,0.9
157,Saint Anthony,US,2022-07-18 21:30:40,45.0205,-93.218,309.76,44,0,6.17
158,Saskylakh,RU,2022-07-18 21:31:07,71.9167,114.0833,280.14,77,100,5.75
159,Palmer,US,2022-07-18 21:31:09,42.1584,-72.3287,297.71,85,100,3.6
160,Bukene,TZ,2022-07-18 21:31:11,-4.2333,32.8833,293.26,42,75,3.87
161,Komsomolskiy,UZ,2022-07-18 21:31:13,40.4272,71.7189,300.55,26,0,5.14
162,Santa Rosa,PH,2022-07-18 21:27:45,14.3122,121.1114,299.31,90,100,0.61
163,Arraial Do Cabo,BR,2022-07-18 21:31:15,-22.9661,-42.0278,295.07,88,20,2.06
